"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4650333";"SERALUTINIB";"GB-002|GB002|PK-10571|SERALUTINIB";"Small molecule";"2";"469.55";"";"";"5.29";"98.26";"7";"2";"1";"8";"N";"0.36";"None";"4.00";"3.85";"3.85";"4";"MOL";"0";"35";"8";"2";"1";"469.2114";"NEUTRAL";"C27H27N5O3";"COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC";"JHJNPOSPVGRIAN-SFHVURJKSA-N"
"CHEMBL2103881";"DEXMECAMYLAMINE";"DEXMECAMYLAMINE|Dexmecamylamine|NIH-11008|TC-5214";"Small molecule";"3";"167.30";"4";"4";"2.42";"12.03";"1";"1";"0";"1";"Y";"0.63";"None";"10.88";"2.37";"-0.67";"0";"MOL";"0";"12";"1";"1";"0";"167.1674";"BASE";"C11H21N";"CN[C@@]1(C)[C@@H]2CC[C@@H](C2)C1(C)C";"IMYZQPCYWPFTAG-NGZCFLSTSA-N"
"CHEMBL1095097";"EPLERENONE";"EPLERENONE|Inspra|SC-66110|SC-6611O";"Small molecule";"4";"414.50";"24";"129";"3.12";"82.20";"6";"0";"0";"1";"N";"0.48";"None";"None";"2.33";"2.33";"0";"MOL";"0";"30";"6";"0";"0";"414.2042";"NEUTRAL";"C24H30O6";"COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13";"JUKPWJGBANNWMW-VWBFHTRKSA-N"
"CHEMBL672";"FENOFIBRATE";"ANTARA (MICRONIZED)|Antara|FENOFIBRATE|FENOFIBRATE (MICRONIZED)|FENOFIBRATE DELAYED RELEASE|FENOFIBRATE MICRONIZED|FENOGAL|FENOGLIDE|LIPANTIL|LIPANTIL MICRO 200|LIPANTIL MICRO 267|LIPANTIL MICRO 67|LIPIDIL|Lipofen|NSC-281319|SUPRALIP 160|TRICOR (MICRONIZED)|Tricor|Triglide";"Small molecule";"4";"360.84";"197";"4390";"4.68";"52.60";"4";"0";"0";"6";"N";"0.55";"None";"None";"5.28";"5.28";"2";"MOL";"0";"25";"4";"0";"0";"360.1128";"NEUTRAL";"C20H21ClO4";"CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1";"YMTINGFKWWXKFG-UHFFFAOYSA-N"
"CHEMBL317094";"IMIDAPRIL";"HIPERTENE|IMIDAPRIL|IMIDAPRIL HCL|IMIDAPRIL HYDROCHLORIDE|IMIDAPRIL MONOHYDROCHLORIDE|TA 6366|TA-6366|TANATRIL";"Small molecule";"4";"405.45";"6";"32";"0.88";"116.25";"6";"2";"0";"9";"N";"0.59";"3.49";"5.22";"-0.23";"-1.81";"1";"MOL";"0";"29";"9";"2";"0";"405.1900";"ACID";"C20H27N3O6";"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O";"KLZWOWYOHUKJIG-BPUTZDHNSA-N"
"CHEMBL3545387";"SAD448";"SAD448";"Small molecule";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL1201260";"BETHANIDINE";"BETANIDINE|Bethanidine";"Small molecule";"4";"177.25";"1";"1";"0.98";"36.42";"1";"2";"0";"2";"Y";"0.52";"None";"12.41";"1.27";"-1.15";"1";"MOL";"0";"13";"3";"2";"0";"177.1266";"BASE";"C10H15N3";"C/N=C(\NC)NCc1ccccc1";"NIVZHWNOUVJHKV-UHFFFAOYSA-N"
"CHEMBL459";"METHYLDOPA";"(-)-.ALPHA.-METHYLDOPA|(S)-(-)-.ALPHA.-METHYLDOPA|.ALPHA.-METHYL-L-DOPA|ALPHA-METHYLDOPA|ANHYDROUS METHYLDOPA|Aldomet|BAYER-1440L|DOPAMET|J9.247I|L-.ALPHA.-METHYLDOPA|LEDERDOPA|MEDOMET|METALPHA 250|METALPHA 500|METHYLDOPA|METHYLDOPA (LEVOROTATORY)|METHYLDOPA ANHYDROUS|METHYLDOPA HYDRATE|METHYLDOPA SESQUIHYDRATE|METHYLDOPA, ANHYDROUS|MK-351|NSC-169916|NSC-760080";"Small molecule";"4";"211.22";"197";"2457";"0.44";"103.78";"4";"4";"0";"3";"N";"0.54";"1.73";"9.85";"-1.36";"-1.37";"1";"MOL";"0";"15";"5";"5";"0";"211.0845";"ZWITTERION";"C10H13NO4";"C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O";"CJCSPKMFHVPWAR-JTQLQIEISA-N"
"CHEMBL1215";"PHENYLEPHRINE";"(-)-PHENYLEPHRINE|(R)-PHENYLEPHRINE|AB-101 (PHENYLEPHRINE)|Cyclomydril|Duo-Medihaler|J8.601K|M-OXEDRINE|M-SYMPATHOL|M-SYMPATOL|M-SYNEPHRINE|META-SYNEPHRINE|METASYNEPHRINE|PHENYLEPHRINE|PHENYLEPHRINE MINIMS|PHENYLEPHRINE, (R)-|Phenylephrine|R(-)-MEZATON";"Small molecule";"4";"167.21";"47";"601";"0.65";"52.49";"3";"3";"0";"3";"Y";"0.62";"9.07";"9.69";"-0.07";"-1.35";"1";"MOL";"0";"12";"3";"3";"0";"167.0946";"BASE";"C9H13NO2";"CNC[C@H](O)c1cccc(O)c1";"SONNWYBIRXJNDC-VIFPVBQESA-N"
"CHEMBL2028661";"AZILSARTAN MEDOXOMIL";"AR-14|AZILSARTAN MEDOXOMIL|EDARBI|IPREZIV|TAK 491|TAK-491";"Small molecule";"4";"568.54";"1";"2";"4.71";"155.59";"11";"1";"2";"9";"N";"0.24";"5.91";"1.48";"6.03";"5.19";"6";"MOL";"0";"42";"12";"1";"2";"568.1594";"ACID";"C30H24N4O8";"CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1";"QJFSABGVXDWMIW-UHFFFAOYSA-N"
"CHEMBL134";"CLONIDINE";"CATAPRES-TTS-1|CATAPRES-TTS-2|CATAPRES-TTS-3|CATARPRES-TTS|CLONIDINE|CLONIDINE EXTENDED RELEASE|Catapres|Clorpres|Combipres|Duraclon|NEXICLON XR|ST-155-BS|ST-155BS";"Small molecule";"4";"230.10";"191";"1297";"2.17";"36.42";"1";"2";"0";"1";"Y";"0.78";"None";"9.34";"2.04";"0.73";"1";"MOL";"0";"14";"3";"2";"0";"229.0174";"BASE";"C9H9Cl2N3";"Clc1cccc(Cl)c1N=C1NCCN1";"GJSURZIOUXUGAL-UHFFFAOYSA-N"
"CHEMBL1085699";"MANIDIPINE 6300";"ARTEDIL|FRANIDIPINE|MANIDIPINE|MANIDIPINE 6300|MANIDIPINE HYDROCHLORIDE";"Small molecule";"3";"610.71";"13";"34";"4.95";"114.25";"9";"1";"1";"10";"N";"0.19";"None";"7.86";"5.19";"4.60";"3";"MOL";"0";"45";"10";"1";"1";"610.2791";"NEUTRAL";"C35H38N4O6";"COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1";"ANEBWFXPVPTEET-UHFFFAOYSA-N"
"CHEMBL1200870";"TIMOLOL MALEATE";"AQUANIL|Blocadren|Istalol|NSC-757351|OPHTAMOLOL|TIMOLOL (AS MALEATE)|TIMOLOL HYDROGEN MALEATE SALT|TIMOLOL MALEATE|TIMOLOL MALEATE, S-ENANTIOMER|TIMOLOLI MALEAS|TIMOPTIC IN OCUDOSE|TIMOPTIC-XE|Timoptic|Timoptic XE|WP-934";"Small molecule";"4";"432.50";"21";"26";"0.50";"79.74";"8";"2";"0";"6";"N";"0.79";"None";"9.76";"1.34";"-0.97";"1";"MOL";"0";"21";"7";"2";"0";"316.1569";"BASE";"C17H28N4O7S";"CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O";"WLRMANUAADYWEA-NWASOUNVSA-N"
"CHEMBL1464";"WARFARIN";"NSC-59813|WARFARIN|Warfarin";"Small molecule";"4";"308.33";"165";"1087";"3.61";"67.51";"4";"1";"0";"4";"N";"0.75";"5.56";"None";"2.74";"0.94";"3";"MOL";"0";"23";"4";"1";"0";"308.1049";"ACID";"C19H16O4";"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O";"PJVWKTKQMONHTI-UHFFFAOYSA-N"
"CHEMBL1200534";"MOEXIPRIL HYDROCHLORIDE";"CI 925|CI-925|MOEXIPRIL HCL|MOEXIPRIL HYDROCHLORIDE|PERDIX|RS-10085-197|SPM 925|SPM-925|Univasc";"Small molecule";"4";"535.04";"4";"18";"2.58";"114.40";"7";"2";"0";"11";"N";"0.45";"3.46";"5.20";"1.50";"-0.08";"2";"MOL";"0";"36";"9";"2";"0";"498.2366";"ACID";"C27H35ClN2O7";"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl";"JXRAXHBVZQZSIC-JKVLGAQCSA-N"
"CHEMBL424133";"LY-518674";"KB-68984|LY-518674|LY-674|LY518674";"Small molecule";"2";"409.49";"4";"14";"3.76";"97.47";"6";"2";"0";"9";"N";"0.56";"3.87";"0.57";"5.59";"1.61";"3";"MOL";"0";"30";"7";"2";"0";"409.2002";"ACID";"C23H27N3O4";"Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)nc2O)cc1";"PNHFDVSKDSLUFH-UHFFFAOYSA-N"
"CHEMBL1566";"ACARBOSE";"ACARBOSE|BAY G 5421|BAY-G-5421|GLUCOBAY|NSC-758915|Precose";"Oligosaccharide";"4";"645.61";"144";"2342";"-8.56";"321.17";"19";"14";"3";"9";"N";"0.10";"11.23";"7.03";"-7.61";"-7.77";"0";"MOL";"0";"44";"19";"14";"3";"645.2480";"NEUTRAL";"C25H43NO18";"C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O";"XUFXOAAUWZOOIT-SXARVLRPSA-N"
"CHEMBL435883";"BERAPROST SODIUM";"BERAPROST SODIUM|BERAPROST SODIUM SALT|MDL-201129|ML-1129|PROCYLIN|TRK-100|TRK-100STP";"Small molecule";"3";"420.48";"2";"4";"3.29";"86.99";"4";"3";"0";"8";"N";"0.46";"4.20";"None";"3.60";"0.56";"1";"MOL";"0";"29";"5";"3";"0";"398.2093";"ACID";"C24H29NaO5";"CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)[O-])c3O[C@H]2C[C@H]1O.[Na+]";"YTCZZXIRLARSET-VJRSQJMHSA-M"
"CHEMBL256087";"MENTHOL";"AQUA-COOL|AQUASOOTHE|ARJUN|CATARRH|DERMACOOL|DL-MENTHOL|FEMA NO. 2665|Fisherman's Friend Lozenges|HALLS|KARVOL|LOCKETS|MEGGEZONES|MENTHOL|MENTHOL RACEMATE|MUIRS|NSC-2603|RACEMENTHOL|TIXYLIX DECONGESTANT INH|Therapeutic Mineral Ice|VOCALZONE";"Small molecule";"4";"156.27";"34";"118";"2.44";"20.23";"1";"1";"0";"1";"Y";"0.62";"None";"None";"2.66";"2.66";"0";"MOL";"0";"11";"1";"1";"0";"156.1514";"NEUTRAL";"C10H20O";"CC1CCC(C(C)C)C(O)C1";"NOOLISFMXDJSKH-UHFFFAOYSA-N"
"CHEMBL2134724";"IPRATROPIUM BROMIDE";"ATROVENT AEROCAPS|ATROVENT FTE|ATROVENT HFA|ATROVENT UDVS|Atrovent|IPRATROP|IPRATROP STERIPOULE|IPRATROPIUM BROMIDE|IPRATROPIUM BROMIDE ANHYDROUS|IPRATROPIUM BROMIDE HYDRATE|IPRATROPIUM BROMIDE MONOHYDRATE|NSC-759613|RESPONTIN|RINATEC|SCH 1000-BR-MONOHYDRATE|SCH-1000-BR-|TROPIOVENT";"Small molecule";"4";"430.38";"4";"6";"2.85";"46.53";"3";"1";"0";"5";"N";"0.67";"None";"None";"-1.82";"-1.82";"1";"MOL";"0";"24";"4";"1";"0";"332.2220";"NEUTRAL";"C20H32BrNO4";"CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]";"KEWHKYJURDBRMN-XSAPEOHZSA-M"
"CHEMBL1520";"VARDENAFIL";"BAY-389456|BAY38-9456|LEVITRA|VARDENAFIL|VIVANZA|Vardenafil";"Small molecule";"4";"488.61";"32";"120";"2.07";"112.90";"8";"1";"0";"8";"N";"0.52";"11.75";"6.21";"1.43";"1.40";"3";"MOL";"0";"34";"10";"1";"0";"488.2206";"NEUTRAL";"C23H32N6O4S";"CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12";"SECKRCOLJRRGGV-UHFFFAOYSA-N"
"CHEMBL3989406";"ENALAPRILAT";"ENALAPRIL DIACID DIHYDRATE|ENALAPRIL DIACID DIHYDRATE ANHYDROUS|ENALAPRILAT|ENALAPRILAT DIHYDRATE|MK-422|NSC-760053|VASOTEC I.V.|Vasotec";"Small molecule";"4";"384.43";"1";"1";"1.13";"106.94";"4";"3";"0";"8";"N";"0.65";"3.13";"7.83";"-1.05";"-4.01";"1";"MOL";"0";"25";"7";"3";"0";"348.1685";"ACID";"C18H28N2O7";"C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O";"MZYVOFLIPYDBGD-MLZQUWKJSA-N"
"CHEMBL513301";"TRIMAZOSIN";"TRIMAZOSIN";"Small molecule";"0";"435.48";"3";"7";"1.27";"132.50";"10";"2";"0";"6";"N";"0.68";"None";"5.99";"1.20";"1.19";"2";"MOL";"0";"31";"11";"3";"1";"435.2118";"NEUTRAL";"C20H29N5O6";"COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC";"YNZXWQJZEDLQEG-UHFFFAOYSA-N"
"CHEMBL444814";"L-CITRULLINE";"CITRULLINE|L-CITRULLINE|NSC-27425";"Small molecule";"3";"175.19";"7";"99";"-1.15";"118.44";"3";"4";"0";"5";"N";"0.39";"2.27";"9.23";"-3.93";"-3.94";"0";"MOL";"0";"12";"6";"6";"1";"175.0957";"ZWITTERION";"C6H13N3O3";"NC(=O)NCCC[C@H](N)C(=O)O";"RHGKLRLOHDJJDR-BYPYZUCNSA-N"
"CHEMBL1508";"ESCITALOPRAM";"CIPRALEX|ESCITALOPRAM|ESERTIA|ESITOL|Escitalopram|LU-26-054";"Small molecule";"4";"324.40";"27";"101";"3.81";"36.26";"3";"0";"0";"5";"N";"0.84";"None";"9.78";"3.76";"1.41";"2";"MOL";"0";"24";"3";"0";"0";"324.1638";"BASE";"C20H21FN2O";"CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21";"WSEQXVZVJXJVFP-FQEVSTJZSA-N"
"CHEMBL279516";"INDORAMIN";"BARATOL|DORALESE TILTAB|INDORAMIN|WY 21901|WY-21901";"Small molecule";"4";"347.46";"39";"132";"3.60";"48.13";"2";"2";"0";"5";"N";"0.74";"None";"9.00";"3.19";"1.58";"3";"MOL";"0";"26";"4";"2";"0";"347.1998";"BASE";"C22H25N3O";"O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1";"JXZZEXZZKAWDSP-UHFFFAOYSA-N"
"CHEMBL1434";"MINOCYCLINE";"MINOCYCLINE|Minocycline";"Small molecule";"4";"457.48";"105";"943";"0.19";"164.63";"9";"5";"0";"3";"N";"0.40";"2.90";"7.90";"-2.54";"-2.61";"1";"MOL";"0";"33";"10";"6";"1";"457.1849";"ACID";"C23H27N3O7";"CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O";"DYKFCLLONBREIL-KVUCHLLUSA-N"
"CHEMBL4110551";"SPH-3127";"SPH-3127|SPH3127";"Small molecule";"2";"444.54";"1";"1";"1.53";"110.61";"8";"2";"0";"8";"N";"0.59";"None";"7.73";"0.19";"-0.31";"2";"MOL";"0";"32";"10";"2";"0";"444.2485";"NEUTRAL";"C22H32N6O4";"COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccc(C)nc21";"GRTDDIZIUSADLD-CRAIPNDOSA-N"
"CHEMBL254193";"ENDRALAZINE";"ENDRALAZINE";"Small molecule";"0";"269.31";"2";"5";"0.38";"87.37";"4";"2";"0";"1";"N";"0.58";"10.36";"5.46";"0.38";"0.36";"2";"MOL";"0";"20";"6";"3";"0";"269.1277";"NEUTRAL";"C14H15N5O";"N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2";"ALAXZYHFVBSJKZ-UHFFFAOYSA-N"
"CHEMBL3545393";"XL550";"CS-3150|ESAXERENONE|XL-550|XL550";"Small molecule";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL1017";"TELMISARTAN";"BIBR 277 SE|BIBR-277|BIBR-277 SE|BIBR-277-SE|BIBR-277SE|C09CA07|KINZALMONO|Micardis|PRITOR|SEMINTRA|TELMISARTAN|TELMISARTAN ACTAVIS|TELMISARTAN TEVA|TOLURA";"Small molecule";"4";"514.63";"93";"460";"7.26";"72.94";"5";"1";"2";"7";"N";"0.24";"3.62";"5.86";"6.13";"4.86";"6";"MOL";"0";"39";"6";"1";"2";"514.2369";"ACID";"C33H30N4O2";"CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1";"RMMXLENWKUUMAY-UHFFFAOYSA-N"
"CHEMBL1705";"CLONIDINE HYDROCHLORIDE";"CATAPRES P.L.|CATAPRES TTS 1|CATAPRES TTS 2|CATAPRES TTS 3|CLONIDINE HCL|CLONIDINE HYDROCHLORIDE|Catapres|DICHLORANILINO IMIDAZOLIN|DIXARIT|Duraclon|JENLOGA|KAPVAY|NSC-756699|ST-155";"Small molecule";"4";"266.56";"25";"36";"2.17";"36.42";"1";"2";"0";"1";"Y";"0.78";"None";"9.34";"2.04";"0.73";"1";"MOL";"0";"14";"3";"2";"0";"229.0174";"BASE";"C9H10Cl3N3";"Cl.Clc1cccc(Cl)c1NC1=NCCN1";"ZNIFSRGNXRYGHF-UHFFFAOYSA-N"
"CHEMBL1200660";"ISOSORBIDE";"1,4:3,6-DIANHYDRO-D-GLUCITOL|AT-101|D-GLUCITOL, 1,4:3,6-DIANHYDRO-|ISOBIDE|ISOSORBIDE|Ismotic|NSC-40725";"Small molecule";"4";"146.14";"10";"28";"-1.49";"58.92";"4";"2";"0";"0";"N";"0.44";"13.03";"None";"-1.41";"-1.41";"0";"MOL";"0";"10";"4";"2";"0";"146.0579";"NEUTRAL";"C6H10O4";"O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12";"KLDXJTOLSGUMSJ-JGWLITMVSA-N"
"CHEMBL1201167";"CARVEDILOL PHOSPHATE";"CARVEDILOL PHOSPHATE|CARVEDILOL PHOSPHATE HEMIHYDRATE|CARVEDILOL PHOSPHATE HYDRATE|COREG CR|SK&F-105517-D|SKF 105517D|SKF-105517D";"Small molecule";"4";"504.48";"";"";"3.74";"75.74";"5";"3";"0";"10";"N";"0.35";"None";"8.74";"3.42";"2.07";"4";"MOL";"0";"30";"6";"3";"0";"406.1893";"BASE";"C24H29N2O8P";"COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O";"XCPXNPBILMXKNX-UHFFFAOYSA-N"
"CHEMBL3989480";"MAGNESIUM CITRATE";"CITRAMAG|MAG CIT|MAG DIASPORAL 300|MAGCIT|MAGNESIUM CITRATE|NSC-83517";"Small molecule";"4";"451.11";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"449.9622";"None";"C12H10Mg3O14";"O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Mg+2].[Mg+2].[Mg+2]";"PLSARIKBYIPYPF-UHFFFAOYSA-H"
"CHEMBL813";"EPROSARTAN";"EPROSARTAN|Eprosartan|SK&F 108566|SK&F-108566|SK-108566|TEVETEN|Teveten";"Small molecule";"4";"424.52";"24";"86";"4.74";"92.42";"5";"2";"0";"10";"N";"0.46";"3.47";"6.67";"3.75";"0.06";"3";"MOL";"0";"30";"6";"2";"0";"424.1457";"ACID";"C23H24N2O4S";"CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1";"OROAFUQRIXKEMV-LDADJPATSA-N"
"CHEMBL730";"NITROGLYCERIN";"C01DA02|CHLORMETHINE OXIDE HYDROCHLORIDE|CORO-NITRO|DEPONIT 10|DEPONIT 5|DILUTED NITROGLYCERIN|GLONOINUM|GLYCERYL TRINITRATE|GLYCERYL TRINITRATE SOLUTION|GLYTRIN|GONITRO|Glyceryl Trinitrate|IMX-150|LENITRAL 7.5|MECHLORETHAMINE OXIDE HCL|MINITRAN 10|MINITRAN 15|MINITRAN 5|MITOMEN|MUSTRON|Minitran|NATIROSE|NITORA|NITRIDERM TTS|NITRO IV|NITRO-MACK RET|NITROCINE|NITROCONTIN CONTINUS|NITROGLYCERIN|NITROGLYCERIN TABLETS|NITROL|NITROLINGUAL|NITROLINGUAL PUMPSPRAY|NITROMIN|NITROMIN HYDROCHLORIDE|NITROMIST|NITRONAL|Nitro-bid|Nitro-dur|Nitroglycerin|Nitrostat|PERCUTOL|RECTIV|RECTOGESIC|SUSCARD BUCCAL|SUSTAC|TRANSDERM-NITRO|TRANSIDERM-NITRO 10|TRANSIDERM-NITRO 5|TRIDIL|TRINITRIN|TRINITRIN TABLETS|TRINITRINE|TRINTEK 10|TRINTEK 15|TRINTEK 5|Transderm-Nitro";"Small molecule";"4";"227.09";"34";"115";"-1.02";"157.11";"9";"0";"0";"8";"N";"0.37";"None";"None";"0.26";"0.26";"0";"MOL";"0";"15";"12";"0";"1";"227.0026";"NEUTRAL";"C3H5N3O9";"O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]";"SNIOPGDIGTZGOP-UHFFFAOYSA-N"
"CHEMBL2165326";"APROCITENTAN";"ACT-132577|APROCITENTAN|MACITENTAN METABOLITE M6";"Small molecule";"3";"546.20";"4";"8";"2.53";"142.21";"8";"2";"1";"8";"N";"0.41";"7.79";"3.26";"2.58";"2.45";"3";"MOL";"0";"29";"10";"3";"1";"543.9164";"NEUTRAL";"C16H14Br2N6O4S";"NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1";"DKULOVKANLVDEA-UHFFFAOYSA-N"
"CHEMBL1358";"FULVESTRANT";"FULVESTRANT|Faslodex|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238";"Small molecule";"4";"606.78";"49";"340";"8.68";"57.53";"3";"2";"2";"14";"N";"0.16";"10.32";"None";"7.57";"7.57";"1";"MOL";"0";"41";"3";"2";"2";"606.3166";"NEUTRAL";"C32H47F5O3S";"C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O";"VWUXBMIQPBEWFH-WCCTWKNTSA-N"
"CHEMBL673";"PARGYLINE";"Eutonyl|Eutron|PARGYLINE|Pargyline";"Small molecule";"4";"159.23";"41";"210";"1.75";"3.24";"1";"0";"0";"3";"Y";"0.61";"None";"8.05";"2.14";"1.41";"1";"MOL";"0";"12";"1";"0";"0";"159.1048";"NEUTRAL";"C11H13N";"C#CCN(C)Cc1ccccc1";"DPWPWRLQFGFJFI-UHFFFAOYSA-N"
"CHEMBL306823";"SODIUM DICHLOROACETATE";"CMI X-11S|CPC-211|Ceresine|DCA|DCA SODIUM|NSC-744479|SODIUM DICHLOROACETATE";"Small molecule";"4";"150.92";"26";"96";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"149.9251";"None";"C2HCl2NaO2";"O=C([O-])C(Cl)Cl.[Na+]";"LUPNKHXLFSSUGS-UHFFFAOYSA-M"
"CHEMBL1201329";"TRIMETHAPHAN";"TRIMETAPHAN|TRIMETHAPHAN|TRIMETHAPHAN CATION|TRIMETHAPHAN ION";"Small molecule";"4";"365.52";"3";"8";"3.66";"23.55";"1";"0";"0";"4";"N";"0.60";"None";"None";"2.32";"2.32";"2";"MOL";"0";"26";"3";"0";"0";"365.1682";"NEUTRAL";"C22H25N2OS+";"O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1";"CHQOEHPMXSHGCL-UHFFFAOYSA-N"
"CHEMBL1069";"VALSARTAN";"CGP 48933|CGP-48933|Diovan|Exforge|NSC-758927|PREXXARTAN|VALSARTAN";"Small molecule";"4";"435.53";"148";"1142";"4.16";"112.07";"5";"2";"0";"10";"N";"0.49";"4.00";"None";"4.59";"0.08";"3";"MOL";"0";"32";"8";"2";"0";"435.2270";"ACID";"C24H29N5O3";"CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C";"ACWBQPMHZXGDFX-QFIPXVFZSA-N"
"CHEMBL1231840";"CARBON MONOXIDE";"CARBON MONOXIDE|CARBON OXIDE (CO)|CARBONEUM OXYGENISATUM";"Small molecule";"3";"28.01";"1";"3";"-0.04";"19.90";"0";"0";"0";"0";"Y";"0.26";"None";"None";"-3.96";"-3.96";"0";"MOL";"0";"2";"1";"0";"0";"27.9949";"NEUTRAL";"CO";"[C-]#[O+]";"UGFAIRIUMAVXCW-UHFFFAOYSA-N"
"CHEMBL1016";"CANDESARTAN";"CANDESARTAN|CANDESARTAN CILEXETIL RELATED COMPOUND G|CV-11974|Candesartan|NSC-759858";"Small molecule";"3";"440.46";"134";"979";"4.03";"118.81";"7";"2";"0";"7";"N";"0.39";"3.44";"1.50";"4.68";"-0.30";"5";"MOL";"0";"33";"9";"2";"0";"440.1597";"ACID";"C24H20N6O3";"CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1";"HTQMVQVXFRQIKW-UHFFFAOYSA-N"
